claim_id,policy_id,customer_id,claim_date_key,claim_type,claim_status,claim_amount,incurred_date,settled_date
1,1678,1298,20260217,Flight Delay,Paid,561.53,2026-02-17,2026-03-21
2,4274,1535,20250809,Theft,Paid,1191.95,2025-08-09,2025-08-16
3,3282,2021,20260425,Windscreen,Paid,7514.49,2026-04-25,2026-05-19
4,2683,2009,20221231,Collision,Rejected,841.42,2022-12-31,
5,704,952,20221227,Water Damage,Rejected,5463.74,2022-12-27,
6,704,952,20220914,Fire,Open,1430.57,2022-09-14,
7,264,2593,20240520,Theft,Rejected,536.09,2024-05-20,
8,3887,1677,20220112,Fire,Rejected,3874.16,2022-01-12,
9,2694,2177,20230410,Fire,Open,13681.89,2023-04-10,
10,3178,2134,20260722,Windscreen,Open,1916.63,2026-07-22,
11,96,2901,20210624,Baggage Loss,Paid,2106.36,2021-06-24,2021-07-22
12,4361,1588,20241215,Theft,Rejected,7617.2,2024-12-15,
13,3728,2554,20260202,Windscreen,Approved,1707.95,2026-02-02,2026-03-06
14,945,2284,20240703,Water Damage,Approved,6058.15,2024-07-03,2024-08-09
15,815,2811,20221101,Theft,Paid,6599.86,2022-11-01,2022-11-26
16,822,1945,20231103,Windscreen,Approved,7619.67,2023-11-03,2023-11-22
17,1360,867,20211108,Theft,Paid,5265.82,2021-11-08,2021-12-05
18,2356,753,20240907,Water Damage,Paid,2537.36,2024-09-07,2024-09-18
19,1938,397,20260209,Collision,Approved,3837.54,2026-02-09,2026-03-16
20,1304,2264,20251003,Windscreen,Paid,2822.49,2025-10-03,2025-10-11
21,2744,834,20220531,Collision,Open,7202.06,2022-05-31,
22,630,1969,20231130,Collision,Open,1591.47,2023-11-30,
23,1307,2083,20261011,Windscreen,Paid,318.69,2026-10-11,2026-10-26
24,1642,1620,20241210,Windscreen,Paid,2275.99,2024-12-10,2024-12-17
25,2047,1773,20250131,Storm Damage,Paid,22403.3,2025-01-31,2025-02-26
26,3520,1447,20240413,Storm Damage,Rejected,3890.99,2024-04-13,
27,891,1812,20240123,Collision,Paid,3986.96,2024-01-23,2024-02-01
28,2309,450,20261227,Theft,Paid,17295.62,2026-12-27,2027-01-18
29,2655,1530,20211007,Fire,Paid,2858.13,2021-10-07,2021-11-19
30,210,1351,20240710,Water Damage,Rejected,5323.53,2024-07-10,
31,2724,2052,20250904,Theft,Rejected,2481.9,2025-09-04,
32,766,433,20210813,Collision,Paid,3338.87,2021-08-13,2021-09-13
33,296,2515,20230423,Theft,Paid,5940.5,2023-04-23,2023-05-09
34,4266,190,20260625,Fire,Approved,5089.68,2026-06-25,2026-07-03
35,4342,1093,20220607,Windscreen,Paid,1241.19,2022-06-07,2022-06-14
36,3624,794,20220904,Theft,Paid,5858.39,2022-09-04,2022-09-07
37,1362,43,20251218,Windscreen,Paid,1180.33,2025-12-18,2026-01-30
38,445,1122,20240219,Collision,Open,5876.02,2024-02-19,
39,3071,2881,20220424,Trip Cancellation,Rejected,271.72,2022-04-24,
40,1976,1196,20230818,Collision,Approved,7654.86,2023-08-18,2023-08-28
41,552,648,20230126,Theft,Paid,4770.6,2023-01-26,2023-02-01
42,2224,1594,20230515,Storm Damage,Paid,22477.28,2023-05-15,2023-06-08
43,157,1734,20261220,Fire,Paid,668.59,2026-12-20,2027-01-14
44,4086,1011,20230206,Storm Damage,Approved,17188.28,2023-02-06,2023-02-22
45,1158,1071,20240903,Theft,Paid,6642.96,2024-09-03,2024-10-09
46,2970,2370,20240928,Collision,Open,1498.89,2024-09-28,
47,1393,2349,20270303,Collision,Paid,4035.39,2027-03-03,2027-03-23
48,2335,2906,20261004,Windscreen,Approved,3808.68,2026-10-04,2026-11-03
49,2452,1947,20230117,Windscreen,Paid,7708.27,2023-01-17,2023-02-02
50,828,2496,20250906,Windscreen,Approved,3504.9,2025-09-06,2025-09-15
51,4359,2900,20220111,Theft,Paid,8661.1,2022-01-11,2022-02-24
52,3477,2935,20220123,Medical,Paid,2849.95,2022-01-23,2022-03-04
53,4222,1676,20260324,Windscreen,Open,5496.51,2026-03-24,
54,4015,2451,20230120,Water Damage,Approved,3753.23,2023-01-20,2023-01-30
55,2679,771,20260731,Windscreen,Open,5147.96,2026-07-31,
56,4143,2298,20260913,Windscreen,Paid,4379.77,2026-09-13,2026-10-28
57,402,525,20261228,Fire,Open,6270.76,2026-12-28,
58,876,477,20230202,Windscreen,Open,7770.99,2023-02-02,
59,205,2023,20210313,Windscreen,Paid,3815.06,2021-03-13,2021-03-23
60,1449,2286,20250221,Water Damage,Approved,9578.94,2025-02-21,2025-03-12
61,1745,736,20260721,Fire,Paid,6854.99,2026-07-21,2026-08-05
62,1213,2177,20220508,Windscreen,Paid,5372.38,2022-05-08,2022-06-05
63,3713,108,20210804,Water Damage,Open,18373.97,2021-08-04,
64,4760,471,20260621,Trip Cancellation,Paid,2694.15,2026-06-21,2026-08-03
65,1258,807,20241127,Theft,Open,3643.63,2024-11-27,
66,2434,2228,20260603,Fire,Paid,3642.92,2026-06-03,2026-07-02
67,4927,429,20221209,Fire,Paid,4580.77,2022-12-09,2023-01-20
68,3598,2650,20261007,Windscreen,Approved,3322.6,2026-10-07,2026-10-23
69,340,569,20221211,Windscreen,Paid,7754.72,2022-12-11,2023-01-13
70,4440,388,20250103,Collision,Approved,6133.95,2025-01-03,2025-02-13
71,3462,2077,20230309,Water Damage,Approved,12997.38,2023-03-09,2023-03-24
72,886,1282,20260311,Theft,Open,7090.16,2026-03-11,
73,26,1758,20250224,Theft,Paid,13375.69,2025-02-24,2025-03-14
74,3655,1690,20230224,Fire,Paid,9871.49,2023-02-24,2023-03-22
75,3172,349,20220217,Baggage Loss,Paid,1272.8,2022-02-17,2022-02-25
76,3267,467,20241224,Fire,Approved,1456.11,2024-12-24,2025-01-21
77,3456,2867,20211021,Storm Damage,Rejected,23160.34,2021-10-21,
78,337,1468,20270120,Theft,Rejected,2616.14,2027-01-20,
79,1602,1149,20261019,Baggage Loss,Open,843.93,2026-10-19,
80,524,57,20211007,Windscreen,Rejected,849.61,2021-10-07,
81,3872,2011,20220502,Storm Damage,Paid,8672.4,2022-05-02,2022-06-12
82,2792,747,20250111,Fire,Paid,6046.82,2025-01-11,2025-01-30
83,1474,2907,20240922,Windscreen,Paid,2802.42,2024-09-22,2024-10-15
84,290,184,20210210,Theft,Paid,772.48,2021-02-10,2021-02-22
85,1388,2014,20240222,Windscreen,Approved,4566.78,2024-02-22,2024-03-29
